index,filename,dimensions,format
148,7-0_output\bah\common\texture\f1b0_b1_wall1_n.dds,1024x1024,BC7_UNORM
149,6-3_output\bah\common\texture\f1b0_b1_wall5_n.dds,1024x1024,BC3_UNORM
149,7-0_output\bah\common\texture\f1b0_b1_wall5_n.dds,1024x1024,BC7_UNORM
150,6-3_output\bah\common\texture\f1b0_t1_cryl1_n.dds,1024x1024,BC3_UNORM
150,7-0_output\bah\common\texture\f1b0_t1_cryl1_n.dds,1024x1024,BC7_UNORM
151,6-3_output\bah\common\texture\f1b0_t1_cryl4_n.dds,512x512,BC3_UNORM
151,7-0_output\bah\common\texture\f1b0_t1_cryl4_n.dds,512x512,BC7_UNORM
152,6-3_output\bah\common\texture\f1b1_p1_otyu1_n.dds,512x1024,BC3_UNORM
152,7-0_output\bah\common\texture\f1b1_p1_otyu1_n.dds,512x1024,BC7_UNORM
154,6-3_output\bah\common\texture\f1b1_p1_otyu2_n.dds,256x256,BC3_UNORM
154,7-0_output\bah\common\texture\f1b1_p1_otyu2_n.dds,256x256,BC7_UNORM
157,6-3_output\bah\common\texture\f1b3_b1_bgim1_n.dds,512x512,BC3_UNORM
157,7-0_output\bah\common\texture\f1b3_b1_bgim1_n.dds,512x512,BC7_UNORM
163,6-3_output\bah\common\texture\f1b3_t1_kabe1_n.dds,256x1024,BC3_UNORM
163,7-0_output\bah\common\texture\f1b3_t1_kabe1_n.dds,256x1024,BC7_UNORM
164,6-3_output\bah\common\texture\f1b4_b1_red01_n.dds,1024x1024,BC3_UNORM
164,7-0_output\bah\common\texture\f1b4_b1_red01_n.dds,1024x1024,BC7_UNORM
165,6-3_output\bah\common\texture\f1b4_b1_red02_n.dds,256x1024,BC3_UNORM
165,7-0_output\bah\common\texture\f1b4_b1_red02_n.dds,256x1024,BC7_UNORM
166,6-3_output\bah\common\texture\f1b4_b1_wall1_n.dds,1024x1024,BC3_UNORM
166,7-0_output\bah\common\texture\f1b4_b1_wall1_n.dds,1024x1024,BC7_UNORM
167,6-3_output\bah\common\texture\f1b4_b2_brav1_n.dds,512x256,BC3_UNORM
167,7-0_output\bah\common\texture\f1b4_b2_brav1_n.dds,512x256,BC7_UNORM
172,6-3_output\bah\common\texture\f1b4_c1_hire1_d.dds,512x256,BC3_UNORM
172,7-0_output\bah\common\texture\f1b4_c1_hire1_d.dds,512x256,BC7_UNORM
173,6-3_output\bah\common\texture\f1b4_c1_hire1_n.dds,512x256,BC3_UNORM
173,7-0_output\bah\common\texture\f1b4_c1_hire1_n.dds,512x256,BC7_UNORM
175,6-3_output\bah\common\texture\f1b4_c1_tsld1_n.dds,256x256,BC3_UNORM
175,7-0_output\bah\common\texture\f1b4_c1_tsld1_n.dds,256x256,BC7_UNORM
176,6-3_output\bah\common\texture\f1b4_q1_blck01_n.dds,1024x1024,BC3_UNORM
176,7-0_output\bah\common\texture\f1b4_q1_blck01_n.dds,1024x1024,BC7_UNORM
179,6-3_output\bah\common\texture\f1b4_q2_maho3_d.dds,512x512,BC3_UNORM
179,7-0_output\bah\common\texture\f1b4_q2_maho3_d.dds,512x512,BC7_UNORM
180,6-3_output\bah\common\texture\f1b4_s1_line1_d.dds,1024x1024,BC3_UNORM
180,7-0_output\bah\common\texture\f1b4_s1_line1_d.dds,1024x1024,BC7_UNORM
181,6-3_output\bah\common\texture\f1b4_t1_bah02_n.dds,1024x1024,BC3_UNORM
181,7-0_output\bah\common\texture\f1b4_t1_bah02_n.dds,1024x1024,BC7_UNORM
182,6-3_output\bah\common\texture\f1b4_t1_grnd2_n.dds,1024x1024,BC3_UNORM
182,7-0_output\bah\common\texture\f1b4_t1_grnd2_n.dds,1024x1024,BC7_UNORM
183,6-3_output\bah\common\texture\f1b4_t2_grnd2_n.dds,1024x1024,BC3_UNORM
183,7-0_output\bah\common\texture\f1b4_t2_grnd2_n.dds,1024x1024,BC7_UNORM
184,6-3_output\bah\common\texture\f1b5_b4_gear1_n.dds,512x512,BC3_UNORM
184,7-0_output\bah\common\texture\f1b5_b4_gear1_n.dds,512x512,BC7_UNORM
185,6-3_output\bah\common\texture\f1b5_b7_meta2_n.dds,1024x1024,BC3_UNORM
185,7-0_output\bah\common\texture\f1b5_b7_meta2_n.dds,1024x1024,BC7_UNORM
186,6-3_output\bah\common\texture\s1b0_b1_edge1_n.dds,512x512,BC3_UNORM
186,7-0_output\bah\common\texture\s1b0_b1_edge1_n.dds,512x512,BC7_UNORM
187,6-3_output\bah\common\texture\s1b0_b1_flor1_n.dds,1024x1024,BC3_UNORM
187,7-0_output\bah\common\texture\s1b0_b1_flor1_n.dds,1024x1024,BC7_UNORM
188,6-3_output\bah\common\texture\s1b0_b1_flor2_n.dds,1024x1024,BC3_UNORM
188,7-0_output\bah\common\texture\s1b0_b1_flor2_n.dds,1024x1024,BC7_UNORM
190,6-3_output\bah\common\texture\s1b1_b1_metl2_n.dds,256x256,BC3_UNORM
190,7-0_output\bah\common\texture\s1b1_b1_metl2_n.dds,256x256,BC7_UNORM
191,6-3_output\bah\common\texture\w1b0_m1_flor1_n.dds,1024x1024,BC3_UNORM
191,7-0_output\bah\common\texture\w1b0_m1_flor1_n.dds,1024x1024,BC7_UNORM
192,6-3_output\bah\common\texture\w1b0_m1_meta2_n.dds,1024x1024,BC3_UNORM
192,7-0_output\bah\common\texture\w1b0_m1_meta2_n.dds,1024x1024,BC7_UNORM
193,6-3_output\bah\common\texture\w1b0_m1_metl2_n.dds,256x256,BC3_UNORM
193,7-0_output\bah\common\texture\w1b0_m1_metl2_n.dds,256x256,BC7_UNORM
194,6-3_output\bah\common\texture\w1b0_t1_grnd2_n.dds,1024x1024,BC3_UNORM
194,7-0_output\bah\common\texture\w1b0_t1_grnd2_n.dds,1024x1024,BC7_UNORM
197,6-3_output\bah\common\texture\w1b2_a1_wal01_n.dds,2048x2048,BC3_UNORM
197,7-0_output\bah\common\texture\w1b2_a1_wal01_n.dds,2048x2048,BC7_UNORM
210,6-3_output\bah\common\texture\_f1b3_b1_maho1_d.dds,1024x1024,BC3_UNORM
210,7-0_output\bah\common\texture\_f1b3_b1_maho1_d.dds,1024x1024,BC7_UNORM
211,6-3_output\bah\common\texture\_f1b3_b1_maho2_d.dds,1024x1024,BC3_UNORM
211,7-0_output\bah\common\texture\_f1b3_b1_maho2_d.dds,1024x1024,BC7_UNORM
212,6-3_output\bah\common\texture\_f1b3_b1_maho3_d.dds,1024x1024,BC3_UNORM
212,7-0_output\bah\common\texture\_f1b3_b1_maho3_d.dds,1024x1024,BC7_UNORM
213,6-3_output\bah\common\texture\_f1b3_b1_maho4_d.dds,1024x1024,BC3_UNORM
213,7-0_output\bah\common\texture\_f1b3_b1_maho4_d.dds,1024x1024,BC7_UNORM
214,6-3_output\bah\common\texture\_f1b5_b1_bah01_n.dds,1024x1024,BC3_UNORM
214,7-0_output\bah\common\texture\_f1b5_b1_bah01_n.dds,1024x1024,BC7_UNORM
219,6-3_output\bah\common\texture\_w1b0_b0_bah05_n.dds,64x256,BC3_UNORM
219,7-0_output\bah\common\texture\_w1b0_b0_bah05_n.dds,64x256,BC7_UNORM
220,6-3_output\bah\f1bz\texture\f1bz_b1_flor1_n.dds,1024x1024,BC3_UNORM
220,7-0_output\bah\f1bz\texture\f1bz_b1_flor1_n.dds,1024x1024,BC7_UNORM
221,6-3_output\bah\f1bz\texture\f1bz_b1_flor2_n.dds,1024x1024,BC3_UNORM
221,7-0_output\bah\f1bz\texture\f1bz_b1_flor2_n.dds,1024x1024,BC7_UNORM
222,6-3_output\bah\f1bz\texture\f1bz_b1_metl2_n.dds,256x256,BC3_UNORM
222,7-0_output\bah\f1bz\texture\f1bz_b1_metl2_n.dds,256x256,BC7_UNORM
240,6-3_output\bah\f1bz\texture\f1bz_s1_met01_n.dds,1024x1024,BC3_UNORM
240,7-0_output\bah\f1bz\texture\f1bz_s1_met01_n.dds,1024x1024,BC7_UNORM
241,6-3_output\bah\f1bz\texture\f1bz_t1_bah02_n.dds,1024x1024,BC3_UNORM
241,7-0_output\bah\f1bz\texture\f1bz_t1_bah02_n.dds,1024x1024,BC7_UNORM
242,6-3_output\bah\f1bz\texture\f1bz_t1_bah05_n.dds,1024x1024,BC3_UNORM
242,7-0_output\bah\f1bz\texture\f1bz_t1_bah05_n.dds,1024x1024,BC7_UNORM
243,6-3_output\bah\s1b1\texture\s1b1_b1_baha1_n.dds,1024x1024,BC3_UNORM
243,7-0_output\bah\s1b1\texture\s1b1_b1_baha1_n.dds,1024x1024,BC7_UNORM
246,6-3_output\bah\s1b1\texture\s1b1_b1_pipe1_n.dds,256x512,BC3_UNORM
246,7-0_output\bah\s1b1\texture\s1b1_b1_pipe1_n.dds,256x512,BC7_UNORM
247,6-3_output\bah\s1b2\texture\s1b1_b1_wall2_n.dds,1024x1024,BC3_UNORM
247,7-0_output\bah\s1b2\texture\s1b1_b1_wall2_n.dds,1024x1024,BC7_UNORM
248,6-3_output\bah\s1b2\texture\s1b5_t1_bah02_n.dds,1024x1024,BC3_UNORM
248,7-0_output\bah\s1b2\texture\s1b5_t1_bah02_n.dds,1024x1024,BC7_UNORM
249,6-3_output\bah\s1b2\texture\s1b7_b4_gear1_n.dds,512x512,BC3_UNORM
249,7-0_output\bah\s1b2\texture\s1b7_b4_gear1_n.dds,512x512,BC7_UNORM
252,6-3_output\bah\s1b5\texture\s1b5_s1_met01_n.dds,1024x1024,BC3_UNORM
252,7-0_output\bah\s1b5\texture\s1b5_s1_met01_n.dds,1024x1024,BC7_UNORM
253,6-3_output\bah\s1b5\texture\s1b5_t1_bah02_n.dds,1024x1024,BC3_UNORM
253,7-0_output\bah\s1b5\texture\s1b5_t1_bah02_n.dds,1024x1024,BC7_UNORM
254,6-3_output\bah\s1b5\texture\s1b5_t1_bah05_n.dds,1024x1024,BC3_UNORM
254,7-0_output\bah\s1b5\texture\s1b5_t1_bah05_n.dds,1024x1024,BC7_UNORM
255,6-3_output\bah\s1b7\texture\s1b7_b1_flor2_n.dds,1024x1024,BC3_UNORM
255,7-0_output\bah\s1b7\texture\s1b7_b1_flor2_n.dds,1024x1024,BC7_UNORM
256,6-3_output\bah\s1b7\texture\s1b7_b7_meta2_n.dds,1024x1024,BC3_UNORM
256,7-0_output\bah\s1b7\texture\s1b7_b7_meta2_n.dds,1024x1024,BC7_UNORM
257,6-3_output\bah\s1b7\texture\_s1b7_b1_bah01_n.dds,1024x1024,BC3_UNORM
257,7-0_output\bah\s1b7\texture\_s1b7_b1_bah01_n.dds,1024x1024,BC7_UNORM
274,6-3_output\btl\m5b1\texture\m5b1_i1_tnt03_n.dds,512x512,BC3_UNORM
274,7-0_output\btl\m5b1\texture\m5b1_i1_tnt03_n.dds,512x512,BC7_UNORM
277,6-3_output\btl\m5b1\texture\m5b1_q1_cob01_n.dds,1024x1024,BC3_UNORM
277,7-0_output\btl\m5b1\texture\m5b1_q1_cob01_n.dds,1024x1024,BC7_UNORM
284,6-3_output\btl\n4b2\texture\n4b2_a1_grs01_n.dds,1024x1024,BC3_UNORM
284,7-0_output\btl\n4b2\texture\n4b2_a1_grs01_n.dds,1024x1024,BC7_UNORM
287,6-3_output\btl\n4b2\texture\n4b2_a1_stn04_n.dds,1024x1024,BC3_UNORM
287,7-0_output\btl\n4b2\texture\n4b2_a1_stn04_n.dds,1024x1024,BC7_UNORM
288,6-3_output\btl\n4b2\texture\n4b2_a1_stn05_n.dds,512x512,BC3_UNORM
288,7-0_output\btl\n4b2\texture\n4b2_a1_stn05_n.dds,512x512,BC7_UNORM
289,6-3_output\btl\n4b2\texture\n4b2_a1_stn11_n.dds,512x512,BC3_UNORM
289,7-0_output\btl\n4b2\texture\n4b2_a1_stn11_n.dds,512x512,BC7_UNORM
290,6-3_output\btl\n4b2\texture\n4b2_a1_stn12_n.dds,512x512,BC3_UNORM
290,7-0_output\btl\n4b2\texture\n4b2_a1_stn12_n.dds,512x512,BC7_UNORM
291,6-3_output\btl\n4b2\texture\n4b2_a1_stn13_n.dds,512x512,BC3_UNORM
291,7-0_output\btl\n4b2\texture\n4b2_a1_stn13_n.dds,512x512,BC7_UNORM
292,6-3_output\btl\n4b2\texture\n4b2_a1_stn15_n.dds,1024x1024,BC3_UNORM
292,7-0_output\btl\n4b2\texture\n4b2_a1_stn15_n.dds,1024x1024,BC7_UNORM
293,6-3_output\btl\n4b2\texture\n4b2_a1_stn16_n.dds,1024x1024,BC3_UNORM
293,7-0_output\btl\n4b2\texture\n4b2_a1_stn16_n.dds,1024x1024,BC7_UNORM
294,6-3_output\btl\n4b2\texture\n4b2_a1_stn20_n.dds,512x512,BC3_UNORM
294,7-0_output\btl\n4b2\texture\n4b2_a1_stn20_n.dds,512x512,BC7_UNORM
295,6-3_output\btl\n4b2\texture\n4b2_a1_stn23_n.dds,512x512,BC3_UNORM
295,7-0_output\btl\n4b2\texture\n4b2_a1_stn23_n.dds,512x512,BC7_UNORM
296,6-3_output\btl\n4b2\texture\n4b2_a1_stn44_n.dds,512x512,BC3_UNORM
296,7-0_output\btl\n4b2\texture\n4b2_a1_stn44_n.dds,512x512,BC7_UNORM
297,6-3_output\btl\n4b2\texture\n4b2_a1_stn45_n.dds,512x512,BC3_UNORM
297,7-0_output\btl\n4b2\texture\n4b2_a1_stn45_n.dds,512x512,BC7_UNORM
298,6-3_output\btl\n4b2\texture\n4b2_a1_stn50_n.dds,512x512,BC3_UNORM
298,7-0_output\btl\n4b2\texture\n4b2_a1_stn50_n.dds,512x512,BC7_UNORM
305,6-3_output\btl\n4b4\texture\n4b4_a0_rem06_n.dds,512x512,BC3_UNORM
305,7-0_output\btl\n4b4\texture\n4b4_a0_rem06_n.dds,512x512,BC7_UNORM
307,6-3_output\btl\n4b4\texture\n4b4_a1_kaji2_n.dds,256x256,BC3_UNORM
307,7-0_output\btl\n4b4\texture\n4b4_a1_kaji2_n.dds,256x256,BC7_UNORM
308,6-3_output\btl\n4b4\texture\n4b4_a1_obn01_n.dds,512x256,BC3_UNORM
308,7-0_output\btl\n4b4\texture\n4b4_a1_obn01_n.dds,512x256,BC7_UNORM
309,6-3_output\btl\n4b4\texture\n4b4_a1_rmp01_n.dds,256x256,BC3_UNORM
309,7-0_output\btl\n4b4\texture\n4b4_a1_rmp01_n.dds,256x256,BC7_UNORM
315,6-3_output\btl\n4b4\texture\n4b4_a2_stn04_n.dds,1024x1024,BC3_UNORM
315,7-0_output\btl\n4b4\texture\n4b4_a2_stn04_n.dds,1024x1024,BC7_UNORM
322,6-3_output\btl\n4b4\texture\n4b4_a2_stn14_n.dds,256x256,BC3_UNORM
322,7-0_output\btl\n4b4\texture\n4b4_a2_stn14_n.dds,256x256,BC7_UNORM
323,6-3_output\btl\n4b4\texture\n4b4_a2_stn20_n.dds,256x256,BC3_UNORM
323,7-0_output\btl\n4b4\texture\n4b4_a2_stn20_n.dds,256x256,BC7_UNORM
324,6-3_output\btl\n4b4\texture\n4b4_a2_stn23_n.dds,256x256,BC3_UNORM
324,7-0_output\btl\n4b4\texture\n4b4_a2_stn23_n.dds,256x256,BC7_UNORM
325,6-3_output\btl\n4b4\texture\n4b4_a2_stn44_n.dds,512x512,BC3_UNORM
325,7-0_output\btl\n4b4\texture\n4b4_a2_stn44_n.dds,512x512,BC7_UNORM
326,6-3_output\btl\n4b4\texture\n4b4_a2_stn45_n.dds,256x256,BC3_UNORM
326,7-0_output\btl\n4b4\texture\n4b4_a2_stn45_n.dds,256x256,BC7_UNORM
327,6-3_output\btl\n4b4\texture\n4b4_a2_stn50_n.dds,512x512,BC3_UNORM
327,7-0_output\btl\n4b4\texture\n4b4_a2_stn50_n.dds,512x512,BC7_UNORM
328,6-3_output\btl\n4b4\texture\n4b4_a2_stn53_n.dds,256x256,BC3_UNORM
328,7-0_output\btl\n4b4\texture\n4b4_a2_stn53_n.dds,256x256,BC7_UNORM
329,6-3_output\btl\n4b4\texture\n4b4_a2_stn54_n.dds,256x256,BC3_UNORM
329,7-0_output\btl\n4b4\texture\n4b4_a2_stn54_n.dds,256x256,BC7_UNORM
330,6-3_output\btl\n4b4\texture\n4b4_a2_stn56_n.dds,512x512,BC3_UNORM
330,7-0_output\btl\n4b4\texture\n4b4_a2_stn56_n.dds,512x512,BC7_UNORM
335,6-3_output\btl\n4b4\texture\n4b4_a5_mtl19_n.dds,512x1024,BC3_UNORM
335,7-0_output\btl\n4b4\texture\n4b4_a5_mtl19_n.dds,512x1024,BC7_UNORM
348,6-3_output\btl\n4b4\texture\n4b4_t4_wall3_n.dds,512x512,BC3_UNORM
348,7-0_output\btl\n4b4\texture\n4b4_t4_wall3_n.dds,512x512,BC7_UNORM
357,6-3_output\btl\n4b5\texture\n4b5_a0_stn02_n.dds,512x512,BC3_UNORM
357,7-0_output\btl\n4b5\texture\n4b5_a0_stn02_n.dds,512x512,BC7_UNORM
358,6-3_output\btl\n4b5\texture\n4b5_a0_stn16_n.dds,1024x1024,BC3_UNORM
358,7-0_output\btl\n4b5\texture\n4b5_a0_stn16_n.dds,1024x1024,BC7_UNORM
359,6-3_output\btl\n4b5\texture\n4b5_a0_stn20_n.dds,512x512,BC3_UNORM
359,7-0_output\btl\n4b5\texture\n4b5_a0_stn20_n.dds,512x512,BC7_UNORM
360,6-3_output\btl\n4b5\texture\n4b5_a0_stn23_n.dds,512x512,BC3_UNORM
360,7-0_output\btl\n4b5\texture\n4b5_a0_stn23_n.dds,512x512,BC7_UNORM
362,6-3_output\btl\n4b5\texture\n4b5_a0_stn45_n.dds,512x512,BC3_UNORM
362,7-0_output\btl\n4b5\texture\n4b5_a0_stn45_n.dds,512x512,BC7_UNORM
363,6-3_output\btl\n4b5\texture\n4b5_a0_stn56_n.dds,512x512,BC3_UNORM
363,7-0_output\btl\n4b5\texture\n4b5_a0_stn56_n.dds,512x512,BC7_UNORM
364,6-3_output\btl\n4b5\texture\n4b5_a1_stn04_n.dds,1024x1024,BC3_UNORM
364,7-0_output\btl\n4b5\texture\n4b5_a1_stn04_n.dds,1024x1024,BC7_UNORM
365,6-3_output\btl\n4b5\texture\n4b5_a1_stn05_n.dds,512x512,BC3_UNORM
365,7-0_output\btl\n4b5\texture\n4b5_a1_stn05_n.dds,512x512,BC7_UNORM
367,6-3_output\btl\n4b5\texture\n4b5_a1_stn20_n.dds,512x512,BC3_UNORM
367,7-0_output\btl\n4b5\texture\n4b5_a1_stn20_n.dds,512x512,BC7_UNORM
368,6-3_output\btl\n4b5\texture\n4b5_a1_stn23_n.dds,512x512,BC3_UNORM
368,7-0_output\btl\n4b5\texture\n4b5_a1_stn23_n.dds,512x512,BC7_UNORM
378,6-3_output\btl\n4b6\texture\n4b6_b2_dia01_n.dds,512x512,BC3_UNORM
378,7-0_output\btl\n4b6\texture\n4b6_b2_dia01_n.dds,512x512,BC7_UNORM
379,6-3_output\btl\n4b6\texture\n4b6_b2_stc03_n.dds,512x1024,BC3_UNORM
379,7-0_output\btl\n4b6\texture\n4b6_b2_stc03_n.dds,512x1024,BC7_UNORM
381,6-3_output\btl\n4b6\texture\n4b6_q1_met12_n.dds,128x128,BC3_UNORM
381,7-0_output\btl\n4b6\texture\n4b6_q1_met12_n.dds,128x128,BC7_UNORM
384,6-3_output\btl\n4b6\texture\n4b6_q1_rmp01_n.dds,256x256,BC3_UNORM
384,7-0_output\btl\n4b6\texture\n4b6_q1_rmp01_n.dds,256x256,BC7_UNORM
386,6-3_output\btl\n4b6\texture\n4b6_q7_01a_n.dds,512x512,BC3_UNORM
386,7-0_output\btl\n4b6\texture\n4b6_q7_01a_n.dds,512x512,BC7_UNORM
404,6-3_output\btl\z3b1\texture\z3b1_a0_mtl40_n.dds,1024x1024,BC3_UNORM
404,7-0_output\btl\z3b1\texture\z3b1_a0_mtl40_n.dds,1024x1024,BC7_UNORM
405,6-3_output\btl\z3b1\texture\z3b1_a0_mtl42_n.dds,512x1024,BC3_UNORM
405,7-0_output\btl\z3b1\texture\z3b1_a0_mtl42_n.dds,512x1024,BC7_UNORM
407,6-3_output\btl\z3b1\texture\z3b1_a1_char1_n.dds,256x256,BC3_UNORM
407,7-0_output\btl\z3b1\texture\z3b1_a1_char1_n.dds,256x256,BC7_UNORM
410,6-3_output\btl\z3b1\texture\z3b1_a1_wall2_n.dds,512x512,BC3_UNORM
410,7-0_output\btl\z3b1\texture\z3b1_a1_wall2_n.dds,512x512,BC7_UNORM
413,6-3_output\btl\z3b1\texture\z3b1_q1_dfin1_n.dds,512x512,BC3_UNORM
413,7-0_output\btl\z3b1\texture\z3b1_q1_dfin1_n.dds,512x512,BC7_UNORM
414,6-3_output\btl\z3b1\texture\z3b1_q1_g0001_n.dds,1024x1024,BC3_UNORM
414,7-0_output\btl\z3b1\texture\z3b1_q1_g0001_n.dds,1024x1024,BC7_UNORM
416,6-3_output\btl\z3b1\texture\z3b1_q1_metl5_n.dds,128x512,BC3_UNORM
416,7-0_output\btl\z3b1\texture\z3b1_q1_metl5_n.dds,128x512,BC7_UNORM
426,6-3_output\btl\z3b1\texture\z3b1_q5_tank1_n.dds,512x1024,BC3_UNORM
426,7-0_output\btl\z3b1\texture\z3b1_q5_tank1_n.dds,512x1024,BC7_UNORM
427,6-3_output\btl\z3b1\texture\z3b1_q7_lift4_n.dds,512x512,BC3_UNORM
427,7-0_output\btl\z3b1\texture\z3b1_q7_lift4_n.dds,512x512,BC7_UNORM
433,6-3_output\chr\z1c4\texture\z1c4_b0_wind1_n.dds,256x256,BC3_UNORM
433,7-0_output\chr\z1c4\texture\z1c4_b0_wind1_n.dds,256x256,BC7_UNORM
438,6-3_output\cnt\e3c3\texture\e3c3_a0_arf05_n.dds,512x512,BC3_UNORM
438,7-0_output\cnt\e3c3\texture\e3c3_a0_arf05_n.dds,512x512,BC7_UNORM
439,6-3_output\cnt\e3c3\texture\e3c3_a0_arf06_n.dds,512x512,BC3_UNORM
439,7-0_output\cnt\e3c3\texture\e3c3_a0_arf06_n.dds,512x512,BC7_UNORM
440,6-3_output\cnt\e3c3\texture\e3c3_a0_arf13_n.dds,512x512,BC3_UNORM
440,7-0_output\cnt\e3c3\texture\e3c3_a0_arf13_n.dds,512x512,BC7_UNORM
442,6-3_output\cnt\e3c3\texture\e3c3_a0_itm01_n.dds,512x512,BC3_UNORM
442,7-0_output\cnt\e3c3\texture\e3c3_a0_itm01_n.dds,512x512,BC7_UNORM
446,6-3_output\cnt\e3c3\texture\e3c3_d1_tui01_n.dds,256x256,BC3_UNORM
446,7-0_output\cnt\e3c3\texture\e3c3_d1_tui01_n.dds,256x256,BC7_UNORM
455,6-3_output\cnt\e3c4\texture\e3c4_a1_blc01_n.dds,1024x1024,BC3_UNORM
455,7-0_output\cnt\e3c4\texture\e3c4_a1_blc01_n.dds,1024x1024,BC7_UNORM
456,6-3_output\cnt\e3c4\texture\e3c4_a1_brk01_n.dds,1024x1024,BC3_UNORM
456,7-0_output\cnt\e3c4\texture\e3c4_a1_brk01_n.dds,1024x1024,BC7_UNORM
457,6-3_output\cnt\e3c4\texture\e3c4_a2_bos02_n.dds,128x256,BC3_UNORM
457,7-0_output\cnt\e3c4\texture\e3c4_a2_bos02_n.dds,128x256,BC7_UNORM
470,6-3_output\cnt\f1c1\texture\f1c1_d1_crys1_n.dds,1024x1024,BC3_UNORM
470,7-0_output\cnt\f1c1\texture\f1c1_d1_crys1_n.dds,1024x1024,BC7_UNORM
487,6-3_output\cnt\f1c6\texture\f1c6_a3_lmp1a_n.dds,512x512,BC3_UNORM
487,7-0_output\cnt\f1c6\texture\f1c6_a3_lmp1a_n.dds,512x512,BC7_UNORM
